Tool Name,Tool Characterization,Tool Description
search_compounds,"Compounds and Drugs, General Web and Reasoning","Searches databases to find chemical compounds based on names, identifiers, or properties."
get_compound_info,Compounds and Drugs,"Retrieves detailed information about a specific chemical compound, including structure and properties."
search_by_smiles,General Web and Reasoning,Finds compounds using SMILES string representations of chemical structures.
search_by_inchi,General Web and Reasoning,Searches for compounds using InChI identifiers.
search_by_cas_number,General Web and Reasoning,Retrieves compound data using CAS registry numbers.
get_compound_synonyms,Compounds and Drugs,Returns alternative names and synonyms for a given compound.
search_similar_compounds,"Compounds and Drugs, General Web and Reasoning",Finds structurally similar compounds based on a reference molecule.
substructure_search,General Web and Reasoning,Searches for compounds containing a specific molecular substructure.
superstructure_search,General Web and Reasoning,Searches for compounds that are larger structures containing a given query molecule.
get_3d_conformers,Analysis Tools,Retrieves 3D conformations of molecules for structural analysis.
analyze_stereochemistry,Analysis Tools,Analyzes stereochemistry and spatial arrangement of atoms in molecules.
get_compound_properties,Compounds and Drugs,Retrieves physicochemical properties of compounds.
calculate_descriptors,Analysis Tools,Calculates molecular descriptors used in cheminformatics analysis.
predict_admet_properties,Analysis Tools,Retrieves physicochemical properties of compounds.
assess_drug_likeness,Compounds and Drugs,Evaluates whether a compound has properties consistent with known drugs.
analyze_molecular_complexity,Analysis Tools,Analyzes structural complexity of molecules.
get_pharmacophore_features,Analysis Tools,Identifies pharmacophore features important for biological activity.
search_bioassays,"Assays and Bioassays, General Web and Reasoning",Searches experimental bioassay databases for compound activity data.
get_assay_info,Assays and Bioassays,Retrieves metadata and details about a specific biological assay.
get_compound_bioactivities,Compounds and Drugs,Returns measured biological activities of compounds against targets.
search_by_target,"General Web and Reasoning, Targets and Proteins",Searches for biological targets associated with compounds or activities.
compare_activity_profiles,Analysis Tools,Compares activity profiles of compounds across different assays or targets.
get_safety_data,Safety and FDA,Retrieves safety-related information for compounds.
get_toxicity_info,Safety and FDA,Provides toxicity data and risk assessments for compounds.
assess_environmental_fate,Analysis Tools,Assesses environmental impact and fate of chemical compounds.
get_regulatory_info,Safety and FDA,Retrieves regulatory and compliance information for compounds.
get_external_references,Analysis Tools,Provides links and references to external databases for compounds.
search_patents,General Web and Reasoning,Searches patent databases for compound-related filings.
get_literature_references,Literature and Preprints,Retrieves scientific literature related to compounds or topics.
batch_compound_lookup,Compounds and Drugs,Performs bulk lookup of multiple compounds simultaneously.
search,General Web and Reasoning,"Executes a semantic or keyword-based query across connected biomedical data sources to identify relevant entities, datasets, or records"
fetch,General Web and Reasoning,"Retrieves detailed data for a specific result returned from a search, typically using an identifier or structured reference."
think,General Web and Reasoning,"Performs intermediate reasoning and planning steps, allowing the system to break down complex queries, decide which tools to call, and synthesize results into a coherent response."
article_searcher,"General Web and Reasoning, Literature and Preprints",Searches for scientific articles across literature databases.
article_getter,Literature and Preprints,Retrieves full details or content of a specific scientific article.
trial_searcher,"Clinical Trials, General Web and Reasoning",Searches clinical trial registries for relevant studies.
trial_getter,Clinical Trials,Retrieves detailed information about a specific clinical trial.
trial_protocol_getter,Clinical Trials,Retrieves clinical trial protocol information.
trial_references_getter,Clinical Trials,Performs the function implied by its name: trial references getter.
trial_outcomes_getter,Clinical Trials,Provides reported outcomes from clinical trials.
trial_locations_getter,Clinical Trials,Returns locations where clinical trials are conducted.
variant_searcher,General Web and Reasoning,Searches or retrieves genetic variant information.
variant_getter,Analysis Tools,Searches or retrieves genetic variant information.
alphagenome_predictor,Analysis Tools,Performs the function implied by its name: alphagenome predictor.
gene_getter,Targets and Proteins,Retrieves detailed gene-related information.
disease_getter,Diseases and Evidence,Retrieves detailed disease-related information.
drug_getter,Compounds and Drugs,Retrieves detailed drug-related information.
nci_organization_searcher,General Web and Reasoning,"Searches for organizations (e.g., institutions, sponsors) in NCI datasets."
nci_organization_getter,Analysis Tools,Retrieves detailed metadata for a specific NCI-listed organization.
nci_intervention_searcher,General Web and Reasoning,"Searches for interventions (drugs, therapies, procedures) used in NCI trials."
nci_intervention_getter,Analysis Tools,Retrieves detailed information about a specific intervention.
nci_biomarker_searcher,General Web and Reasoning,Searches for biomarkers associated with cancer studies and trials.
nci_disease_searcher,"Diseases and Evidence, General Web and Reasoning",Searches for cancer-related diseases and conditions within NCI datasets.
openfda_adverse_searcher,General Web and Reasoning,Searches FDA adverse event reports.
openfda_adverse_getter,Analysis Tools,Retrieves detailed adverse event case data.
openfda_label_searcher,General Web and Reasoning,Searches FDA drug labeling information.
openfda_label_getter,Analysis Tools,Retrieves full structured drug label data.
openfda_device_searcher,General Web and Reasoning,Searches FDA-registered medical devices.
openfda_device_getter,Analysis Tools,Retrieves detailed device information.
openfda_approval_searcher,General Web and Reasoning,Searches FDA drug approval records.
openfda_approval_getter,Analysis Tools,Retrieves detailed approval data.
openfda_recall_searcher,General Web and Reasoning,Searches FDA recall events.
openfda_recall_getter,Analysis Tools,Retrieves recall details.
openfda_shortage_searcher,General Web and Reasoning,Searches FDA drug shortages.
openfda_shortage_getter,Analysis Tools,Retrieves shortage details.
search_pubmed,General Web and Reasoning,Searches PubMed for biomedical literature.
get_pubmed_abstract,Analysis Tools,Retrieves a PubMed article abstract.
search_pubmed_by_author,General Web and Reasoning,Finds publications by a specific author.
get_related_articles,Literature and Preprints,Retrieves related PubMed articles.
search_by_doi,General Web and Reasoning,Finds publications using a DOI.
calculate_statistics,Analysis Tools,Computes statistical measures.
calculate_correlation,Analysis Tools,Calculates correlation between variables.
perform_linear_regression,Analysis Tools,Performs linear regression analysis.
analyze_sequence,Analysis Tools,Analyzes biological sequences.
calculate_molecular_descriptors,Analysis Tools,Computes chemical descriptors.
convert_units,Analysis Tools,Converts scientific units.
search_wikipedia,General Web and Reasoning,Searches Wikipedia database.
get_wikipedia_page,Analysis Tools,Retrieves Wikipedia page content.
search_clinical_trials,"Clinical Trials, General Web and Reasoning",Searches clinical trials.
get_clinical_trial_details,Clinical Trials,Retrieves clinical trial details.
get_drugbank_info,Compounds and Drugs,Retrieves DrugBank drug data.
get_gene_info,Targets and Proteins,Retrieves gene information.
convert_identifiers,Analysis Tools,Converts biological identifiers.
search_medrxiv_preprints,General Web and Reasoning,Searches medRxiv preprints.
get_medrxiv_paper,Analysis Tools,Retrieves a medRxiv paper.
get_recent_medrxiv,Analysis Tools,Lists recent medRxiv papers.
search_biorxiv_preprints,General Web and Reasoning,Searches bioRxiv preprints.
get_biorxiv_paper,Analysis Tools,Retrieves a bioRxiv paper.
get_recent_biorxiv,Analysis Tools,Lists recent bioRxiv papers.
search_opentargets,"General Web and Reasoning, Targets and Proteins",Searches OpenTargets database.
get_target_associations,Targets and Proteins,Retrieves target-disease associations.
get_disease_associations,Diseases and Evidence,Retrieves disease-target associations.
get_protein_interactions,Targets and Proteins,Retrieves protein interactions.
get_interaction_partners,Analysis Tools,Lists protein interaction partners.
bc_get_uniprot_id_by_protein_symbol,Targets and Proteins,Maps protein symbols to UniProt IDs.
bc_get_uniprot_protein_info,Targets and Proteins,Retrieves UniProt protein information.
bc_get_alphafold_info_by_protein_symbol,Targets and Proteins,Retrieves AlphaFold protein structure predictions.
bc_get_antibody_information,Analysis Tools,Retrieves antibody information.
bc_get_antibody_list,Analysis Tools,Lists antibodies from databases within KnowledgeBase MCP.
bc_get_biorxiv_preprint_details,Analysis Tools,Retrieves detailed bioRxiv preprint data.
bc_get_recent_biorxiv_preprints,Analysis Tools,Lists recent bioRxiv preprints.
bc_get_recruiting_studies_by_location,Analysis Tools,Finds recruiting studies by location.
bc_get_studies_by_condition,Analysis Tools,Finds studies by condition.
bc_get_studies_by_intervention,Analysis Tools,Finds studies by intervention.
bc_get_study_details,Analysis Tools,Retrieves study details.
bc_search_studies,General Web and Reasoning,Searches clinical studies.
bc_get_ensembl_id_from_gene_symbol,Targets and Proteins,Converts gene symbols to Ensembl IDs.
bc_get_europepmc_articles,Literature and Preprints,Searches Europe PMC database.
bc_get_europepmc_fulltext,Analysis Tools,Retrieves full-text articles.
bc_search_grants_gov,General Web and Reasoning,Searches grants.gov.
bc_get_interpro_entry,Analysis Tools,Retrieves InterPro entry.
bc_get_protein_domains,Targets and Proteins,Lists protein domains.
bc_search_interpro_entries,General Web and Reasoning,Searches InterPro.
bc_get_available_ontologies,Analysis Tools,Lists ontologies.
bc_get_cell_ontology_terms,Knowledge and Ontologies,Retrieves cell ontology terms.
bc_get_chebi_terms_by_chemical,Analysis Tools,Finds ChEBI terms.
bc_get_efo_id_by_disease_name,Diseases and Evidence,Maps disease to EFO ID.
bc_get_go_terms_by_gene,Targets and Proteins,Retrieves GO terms.
bc_get_term_details,Analysis Tools,Retrieves ontology term details.
bc_get_term_hierarchical_children,Analysis Tools,Retrieves ontology hierarchy.
bc_search_ontology_terms,"General Web and Reasoning, Knowledge and Ontologies",Searches ontology terms.
bc_get_available_pharmacologic_classes,Analysis Tools,Lists pharmacologic classes.
bc_search_drugs_by_therapeutic_class,"Compounds and Drugs, General Web and Reasoning",Finds drugs by class.
bc_get_generic_equivalents,Targets and Proteins,Finds generic drug equivalents.
bc_count_drugs_by_field,Compounds and Drugs,Counts drugs by field.
bc_get_drug_statistics,Compounds and Drugs,Retrieves drug statistics.
bc_get_drug_by_application_number,Compounds and Drugs,Retrieves drug by application number.
bc_get_drug_label_info,Compounds and Drugs,Retrieves drug label info.
bc_search_drugs_fda,"Compounds and Drugs, General Web and Reasoning",Searches FDA drugs.
bc_get_open_targets_graphql_schema,Targets and Proteins,Retrieves OpenTargets schema.
bc_get_open_targets_query_examples,Targets and Proteins,Provides query examples.
bc_query_open_targets_graphql,Targets and Proteins,Executes OpenTargets queries.
bc_get_panglaodb_marker_genes,Targets and Proteins,Retrieves marker genes.
bc_get_panglaodb_options,Analysis Tools,Lists PanglaoDB options.
bc_get_pride_project,Analysis Tools,Retrieves PRIDE project.
bc_search_pride_projects,General Web and Reasoning,Searches PRIDE projects.
bc_search_pride_proteins,"General Web and Reasoning, Targets and Proteins",Searches PRIDE proteins.
bc_get_human_protein_atlas_info,Targets and Proteins,Retrieves protein atlas data.
bc_get_reactome_info_by_identifier,Analysis Tools,Retrieves Reactome pathway info.
bc_get_string_id,Analysis Tools,Maps to STRING IDs.
bc_get_string_interactions,Analysis Tools,Retrieves STRING interactions.
bc_get_string_network_image,Networks and Pathways,Generates STRING network image.
bc_get_string_similarity_scores,Analysis Tools,Computes similarity scores.
bc_get_kegg_id_by_gene_symbol,Targets and Proteins,Maps gene to KEGG ID.
bc_query_kegg,Analysis Tools,Queries KEGG database.
bc_search_google_scholar_publications,General Web and Reasoning,Searches Google Scholar.
